slug,name,team,pos,overall,height,height_in,weight_lbs,wingspan,wingspan_in,Outside Scoring,Inside Scoring,Playmaking,Athleticism,Defense,Rebounding,Intangibles,Close Shot,Free Throw,Mid-Range Shot,Offensive Consistency,Shot IQ,Three-Point Shot,Draw Foul,Driving Dunk,Hands,Layup,Post Control,Post Fade,Post Hook,Standing Dunk,Ball Handle,Pass Accuracy,Pass IQ,Pass Vision,Speed with Ball,Agility,Hustle,Overall Durability,Speed,Stamina,Strength,Vertical,Block,Defensive Consistency,Help Defense IQ,Interior Defense,Pass Perception,Perimeter Defense,Steal,Defensive Rebound,Offensive Rebound,badge: Deadeye,badge: Limitless Range,badge: Mini Marksman,badge: Set Shot Specialist,badge: Shifty Shooter,badge: Aerial Wizard,badge: Float Game,badge: Hook Specialist,badge: Layup Mixmaster,badge: Paint Prodigy,badge: Physical Finisher,badge: Post Fade Phenom,badge: Post Powerhouse,badge: Post-Up Poet,badge: Posterizer,badge: Rise Up,badge: Ankle Assassin,badge: Bail Out,badge: Break Starter,badge: Dimer,badge: Handles For Days,badge: Lightning Launch,badge: Strong Handle,badge: Unpluckable,badge: Versatile Visionary,badge: Challenger,badge: Glove,badge: High-Flying Denier,badge: Immovable Enforcer,badge: Interceptor,badge: Off-Ball Pest,badge: On-Ball Menace,badge: Paint Patroller,badge: Pick Dodger,badge: Post Lockdown,badge: Boxout Beast,badge: Rebound Chaser,badge: Brick Wall,badge: Pogo Stick,badge: Slippery Off-Ball,classic_team,base_team,season,era_tag
jared-dudley-2013-14-los-angeles-clippers,Jared Dudley,2013-14 Los Angeles Clippers,PF,76,"6'7""",79,237,"6'7""",79,79.0,53.0,50.0,70.0,63.0,56.0,98.0,80,66,97,65,84,80,44,35,88,70,58,52,35,40,63,55,58,38,36,64,74,86,48,84,69,65,51,65,79,70,72,64,42,65,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,Bronze,-,Bronze,Bronze,-,-,-,-,-,-,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
ryan-hollins-2013-14-los-angeles-clippers,Ryan Hollins,2013-14 Los Angeles Clippers,C,75,"7'0""",84,245,"7'2""",86,60.0,67.0,46.0,72.0,63.0,77.0,40.0,89,63,74,30,70,33,71,85,65,62,66,39,61,90,35,25,74,28,66,42,75,82,68,71,78,87,80,45,82,83,51,42,55,70,84,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,Gold,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
danny-granger-2013-14-los-angeles-clippers,Danny Granger,2013-14 Los Angeles Clippers,SF / PF,75,"6'9""",81,228,"7'2""",86,76.0,56.0,64.0,74.0,53.0,58.0,70.0,50,84,86,65,90,79,50,50,80,70,57,54,44,40,70,64,64,62,62,76,86,75,68,85,65,60,50,45,63,45,50,66,52,70,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
hedo-turkoglu-2013-14-los-angeles-clippers,Hedo Turkoglu,2013-14 Los Angeles Clippers,SF / PF,75,"6'10""",82,220,"6'11""",83,67.0,71.0,60.0,64.0,48.0,47.0,80.0,54,50,70,40,98,88,65,70,85,81,60,68,60,80,57,64,62,65,52,52,80,82,57,70,70,40,42,40,58,52,42,60,45,48,45,Bronze,-,-,Gold,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
glen-davis-2013-14-los-angeles-clippers,Glen Davis,2013-14 Los Angeles Clippers,PF,73,"6'9""",81,289,"7'0""",84,64.0,67.0,43.0,66.0,58.0,66.0,70.0,83,63,75,60,75,25,67,44,85,64,74,72,69,60,42,31,62,32,50,44,82,76,50,75,92,41,58,55,75,55,58,35,71,69,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,Gold,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
reggie-bullock-2013-14-los-angeles-clippers,Reggie Bullock,2013-14 Los Angeles Clippers,SG / SF,70,"6'7""",79,205,"6'9""",81,73.0,52.0,62.0,68.0,48.0,39.0,85.0,69,76,54,70,90,80,50,50,80,71,42,51,30,40,71,75,72,40,51,60,70,80,64,80,50,72,37,40,63,50,50,56,37,47,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013-14 Los Angeles Clippers,Los Angeles Clippers,2013-14,'14
pau-gasol-2005-06-memphis-grizzlies,Pau Gasol,2005-06 Memphis Grizzlies,C / PF,90,"7'0""",84,250,"7'4""",88,83.0,86.0,57.0,70.0,72.0,86.0,75.0,88,69,84,98,97,60,85,65,95,80,95,92,93,85,48,58,82,71,25,36,95,78,57,95,85,41,74,85,89,91,70,36,62,88,84,-,-,-,Bronze,-,Silver,Gold,Silver,-,Gold,-,Gold,Gold,Gold,-,Gold,-,-,Gold,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,Bronze,Gold,Gold,Gold,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
shane-battier-2005-06-memphis-grizzlies,Shane Battier,2005-06 Memphis Grizzlies,SF / PF,82,"6'8""",80,220,"6'11""",83,74.0,58.0,69.0,80.0,80.0,57.0,50.0,86,71,86,35,77,86,52,70,85,72,52,53,42,35,76,65,72,60,72,91,75,77,78,90,74,74,57,85,84,70,92,86,84,56,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,-,Gold,Gold,Gold,Gold,-,Silver,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
mike-miller-2005-06-memphis-grizzlies,Mike Miller,2005-06 Memphis Grizzlies,SG,80,"6'8""",80,218,"6'11""",83,84.0,59.0,74.0,79.0,56.0,54.0,85.0,72,80,84,85,94,88,84,45,94,84,43,58,36,25,77,70,78,69,77,72,85,82,78,90,65,78,35,60,58,50,45,72,69,70,37,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
eddie-jones-2005-06-memphis-grizzlies,Eddie Jones,2005-06 Memphis Grizzlies,SG / PF,79,"6'6""",78,190,"6'9""",81,76.0,65.0,70.0,79.0,73.0,43.0,98.0,74,78,76,60,84,81,61,85,85,80,55,75,29,50,88,68,69,52,72,82,86,88,69,90,60,78,52,80,80,60,75,82,81,45,41,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,Silver,-,-,-,-,-,-,-,Bronze,-,-,-,Silver,-,-,-,-,-,-,-,-,-,Gold,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
damon-stoudamire-2005-06-memphis-grizzlies,Damon Stoudamire,2005-06 Memphis Grizzlies,PG,76,"5'10""",70,171,"6'1""",73,75.0,45.0,80.0,73.0,46.0,44.0,95.0,60,86,86,65,76,78,72,25,70,79,25,40,25,25,82,82,80,74,81,74,71,72,81,84,51,78,25,40,63,27,47,58,63,46,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Silver,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
chucky-atkins-2005-06-memphis-grizzlies,Chucky Atkins,2005-06 Memphis Grizzlies,PG,75,"5'11""",71,160,"6'3""",75,79.0,48.0,76.0,75.0,45.0,38.0,88.0,64,81,81,70,98,80,47,48,95,74,25,43,26,25,72,74,74,71,88,74,80,84,88,84,37,77,30,45,55,36,49,59,38,41,34,-,-,Bronze,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
lorenzen-wright-2005-06-memphis-grizzlies,Lorenzen Wright,2005-06 Memphis Grizzlies,C,75,"6'11""",83,255,"7'3""",87,58.0,66.0,39.0,72.0,61.0,77.0,60.0,73,65,72,40,70,25,54,70,70,71,64,58,70,70,48,34,35,34,44,51,75,83,58,85,80,75,75,70,75,78,44,47,40,79,74,-,-,-,-,-,Bronze,-,-,-,Bronze,-,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,Bronze,Gold,Bronze,Bronze,Silver,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
bobby-jackson-2005-06-memphis-grizzlies,Bobby Jackson,2005-06 Memphis Grizzlies,PG,74,"6'1""",73,185,"6'4""",76,73.0,44.0,82.0,73.0,48.0,47.0,70.0,70,73,70,65,77,84,56,25,72,80,28,40,27,25,84,84,85,70,88,73,63,81,88,85,43,77,32,40,60,25,51,62,63,56,38,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
hakim-warrick-2005-06-memphis-grizzlies,Hakim Warrick,2005-06 Memphis Grizzlies,PF / C,74,"6'9""",81,219,"7'2""",86,64.0,67.0,47.0,74.0,56.0,68.0,70.0,74,66,62,45,98,37,44,80,80,68,59,60,58,85,40,49,47,44,57,48,85,84,76,80,60,86,60,45,60,64,65,48,48,70,66,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
brian-cardinal-2005-06-memphis-grizzlies,Brian Cardinal,2005-06 Memphis Grizzlies,PF,72,"6'10""",82,230,"7'2""",86,76.0,57.0,38.0,56.0,50.0,60.0,98.0,67,70,70,65,98,88,50,45,95,57,55,56,52,45,44,35,35,44,31,36,62,81,31,77,52,55,55,30,68,55,55,36,48,58,62,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
dahntay-jones-2005-06-memphis-grizzlies,Dahntay Jones,2005-06 Memphis Grizzlies,SF,72,"6'6""",78,225,"6'9""",81,71.0,53.0,52.0,73.0,53.0,39.0,80.0,62,81,73,35,98,75,67,50,72,64,35,40,45,50,65,60,51,35,50,70,85,70,73,80,60,70,25,40,70,48,48,78,59,47,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
antonio-burks-2005-06-memphis-grizzlies,Antonio Burks,2005-06 Memphis Grizzlies,PG,71,"6'1""",73,200,"6'7""",79,69.0,45.0,73.0,68.0,51.0,38.0,85.0,73,67,78,50,85,63,57,25,75,73,43,30,30,25,73,73,73,67,79,72,75,83,79,72,46,50,47,40,54,45,44,66,63,38,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,-,Bronze,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
anthony-roberson-2005-06-memphis-grizzlies,Anthony Roberson,2005-06 Memphis Grizzlies,PG,71,"6'2""",74,180,"6'3""",75,73.0,49.0,70.0,70.0,46.0,40.0,75.0,66,80,79,60,75,77,56,30,85,70,49,39,37,25,76,73,73,50,80,74,65,80,80,84,39,67,37,50,50,34,51,59,43,48,31,-,-,-,Bronze,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Memphis Grizzlies,Memphis Grizzlies,2005-06,'06
marc-gasol-2012-13-memphis-grizzlies,Marc Gasol,2012-13 Memphis Grizzlies,C,88,"7'1""",85,255,"7'4""",88,82.0,80.0,55.0,69.0,79.0,74.0,70.0,95,85,94,90,98,32,70,58,94,71,81,85,93,85,44,60,74,72,26,54,84,79,40,97,92,38,77,95,94,95,74,54,61,82,66,-,-,-,-,-,Gold,-,Silver,-,-,-,Gold,Gold,Gold,-,Gold,-,-,Gold,-,-,-,-,-,-,HOF,Bronze,-,-,-,-,-,Gold,-,HOF,Gold,Gold,Gold,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
mike-conley-2012-13-memphis-grizzlies,Mike Conley,2012-13 Memphis Grizzlies,PG,86,"6'1""",73,175,"6'6""",78,82.0,48.0,83.0,82.0,67.0,42.0,90.0,72,83,90,65,93,86,63,30,84,85,29,40,25,25,86,80,85,77,86,90,85,82,87,95,40,95,45,80,80,31,80,87,67,52,32,-,-,Silver,Bronze,Silver,-,Gold,-,Gold,-,-,-,-,-,-,-,Gold,Silver,-,Silver,Silver,Gold,Bronze,Bronze,Gold,Bronze,Bronze,-,Bronze,-,Bronze,Bronze,-,Silver,-,-,-,-,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
zach-randolph-2012-13-memphis-grizzlies,Zach Randolph,2012-13 Memphis Grizzlies,PF / C,85,"6'9""",81,260,"7'0""",84,81.0,77.0,57.0,72.0,69.0,94.0,40.0,93,75,80,95,98,44,84,40,98,62,95,88,85,60,49,72,70,70,25,49,98,77,39,98,88,54,49,85,84,85,82,42,58,95,92,-,-,-,Gold,-,Gold,-,-,-,Gold,Gold,Gold,Gold,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Gold,Gold,Gold,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
tony-allen-2012-13-memphis-grizzlies,Tony Allen,2012-13 Memphis Grizzlies,SG,78,"6'4""",76,213,"6'9""",81,64.0,59.0,59.0,79.0,78.0,46.0,30.0,78,76,72,30,55,70,72,78,85,75,52,35,42,35,70,58,59,50,58,94,80,73,82,80,68,78,52,95,85,64,84,94,73,52,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Silver,-,Gold,Bronze,Gold,Gold,-,Gold,-,-,-,-,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
ed-davis-2012-13-memphis-grizzlies,Ed Davis,2012-13 Memphis Grizzlies,C / PF,77,"6'9""",81,240,"7'0""",84,57.0,69.0,40.0,74.0,63.0,88.0,70.0,84,57,68,45,63,25,73,69,80,60,60,57,74,75,45,32,60,29,32,46,90,81,69,80,78,75,62,70,74,74,55,46,57,88,88,-,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,Bronze,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
quincy-pondexter-2012-13-memphis-grizzlies,Quincy Pondexter,2012-13 Memphis Grizzlies,SF / SG,75,"6'7""",79,220,"6'11""",83,77.0,57.0,48.0,67.0,70.0,44.0,65.0,88,79,75,50,85,85,44,65,79,74,51,55,44,40,64,39,58,34,47,86,35,78,67,80,49,72,72,70,78,58,74,83,58,47,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
keyon-dooling-2012-13-memphis-grizzlies,Keyon Dooling,2012-13 Memphis Grizzlies,PG,72,"6'3""",75,196,"6'7""",79,76.0,50.0,73.0,70.0,54.0,42.0,65.0,75,86,77,70,70,79,69,30,75,79,43,45,30,30,79,74,75,73,65,70,75,82,70,85,46,65,30,60,70,45,67,60,47,45,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
tony-wroten-2012-13-memphis-grizzlies,Tony Wroten,2012-13 Memphis Grizzlies,SG,70,"6'6""",78,205,"6'9""",81,73.0,57.0,74.0,75.0,53.0,45.0,40.0,75,72,69,70,84,70,72,80,85,77,39,38,35,30,80,75,75,62,77,69,75,78,78,85,59,78,55,45,46,46,48,69,61,50,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2012-13 Memphis Grizzlies,Memphis Grizzlies,2012-13,'13
dominique-wilkins-1985-86-atlanta-hawks,Dominique Wilkins,1985-86 Atlanta Hawks,SF / SG,90,"6'7""",79,200,"6'10""",82,86.0,82.0,72.0,91.0,76.0,69.0,75.0,91,81,82,98,91,70,86,98,98,96,72,80,33,96,75,60,90,55,79,85,98,94,86,96,79,98,47,95,84,66,85,85,69,69,68,-,-,-,-,-,Gold,Gold,-,Gold,-,Bronze,-,-,-,HOF,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
doc-rivers-1985-86-atlanta-hawks,Doc Rivers,1985-86 Atlanta Hawks,PG / SG,84,"6'4""",76,185,"6'7""",79,70.0,57.0,87.0,80.0,74.0,43.0,98.0,70,60,65,90,80,57,79,60,80,75,58,55,25,25,80,92,93,92,80,86,85,79,84,90,60,75,37,80,82,60,82,84,91,44,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Bronze,Silver,Gold,-,-,-,-,Gold,-,Gold,-,-,Silver,-,-,-,Silver,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
kevin-willis-1985-86-atlanta-hawks,Kevin Willis,1985-86 Atlanta Hawks,PF / C,79,"7'0""",84,220,"7'4""",88,65.0,71.0,30.0,66.0,66.0,85.0,98.0,70,65,50,60,95,47,69,48,65,49,84,78,88,90,38,30,28,27,25,38,69,90,36,75,78,75,51,70,80,77,77,49,61,85,84,-,-,-,Silver,-,Silver,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,Silver,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
tree-rollins-1985-86-atlanta-hawks,Tree Rollins,1985-86 Atlanta Hawks,C / PF,77,"7'1""",85,235,"7'6""",90,55.0,57.0,30.0,60.0,73.0,85.0,95.0,73,76,35,70,48,25,49,42,85,30,69,25,69,86,26,35,31,28,29,27,65,79,52,72,84,38,86,90,90,89,74,27,58,86,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,-,Gold,-,-,-,-,Gold,-,Gold,Silver,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
spud-webb-1985-86-atlanta-hawks,Spud Webb,1985-86 Atlanta Hawks,PG / SG,77,"5'7""",67,133,"5'10""",70,69.0,56.0,86.0,77.0,47.0,41.0,60.0,78,78,76,65,55,60,85,94,70,86,25,36,25,25,82,85,88,85,90,68,84,83,90,92,25,98,30,40,48,25,48,48,87,46,36,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,Silver,Gold,-,-,Gold,Gold,Gold,Gold,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
randy-wittman-1985-86-atlanta-hawks,Randy Wittman,1985-86 Atlanta Hawks,SG / SF,77,"6'6""",78,210,"6'9""",81,80.0,52.0,70.0,73.0,64.0,36.0,90.0,84,77,88,80,75,75,79,50,74,75,36,51,25,25,72,74,77,62,66,75,74,81,69,80,65,70,32,75,78,50,74,75,61,36,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
jon-koncak-1985-86-atlanta-hawks,Jon Koncak,1985-86 Atlanta Hawks,C / PF,76,"7'0""",84,250,"7'4""",88,64.0,58.0,31.0,58.0,69.0,80.0,90.0,79,60,49,75,74,49,75,44,66,28,75,25,79,70,30,39,34,29,25,30,80,90,25,66,73,41,63,85,86,85,78,30,58,80,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,Gold,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
cliff-levingston-1985-86-atlanta-hawks,Cliff Levingston,1985-86 Atlanta Hawks,PF / SF,76,"6'8""",80,210,"6'11""",83,67.0,67.0,37.0,70.0,59.0,78.0,98.0,79,67,67,70,82,38,71,62,60,57,72,69,71,76,46,44,42,30,25,45,88,84,55,84,66,70,51,60,64,72,54,45,64,79,77,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
john-battle-1985-86-atlanta-hawks,John Battle,1985-86 Atlanta Hawks,SG,72,"6'2""",74,175,"6'6""",78,69.0,54.0,66.0,75.0,49.0,36.0,85.0,75,73,74,60,70,60,70,60,74,84,39,39,37,25,70,67,68,52,74,75,75,80,79,86,54,79,30,50,57,41,54,61,47,41,31,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
johnny-davis-1985-86-atlanta-hawks,Johnny Davis,1985-86 Atlanta Hawks,SG,72,"6'2""",74,183,"6'6""",78,76.0,49.0,75.0,72.0,49.0,38.0,75.0,75,86,74,60,98,64,54,55,79,82,28,44,27,25,78,75,75,72,76,75,89,81,76,80,41,65,30,60,58,40,57,58,43,36,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
antoine-carr-1985-86-atlanta-hawks,Antoine Carr,1985-86 Atlanta Hawks,PF / C,69,"6'9""",81,225,"7'0""",84,58.0,68.0,42.0,61.0,56.0,62.0,80.0,70,66,70,55,55,30,68,65,75,52,75,65,55,90,45,44,45,35,39,42,62,79,48,71,68,60,73,45,60,62,52,42,60,64,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
scott-hastings-1985-86-atlanta-hawks,Scott Hastings,1985-86 Atlanta Hawks,PF / C,68,"6'10""",82,235,"7'2""",86,69.0,54.0,36.0,50.0,59.0,61.0,80.0,71,85,60,65,70,61,68,40,52,45,60,63,50,55,35,44,45,30,25,25,65,80,25,65,63,30,42,70,77,75,65,25,58,60,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1985-86 Atlanta Hawks,Atlanta Hawks,1985-86,'86
dwyane-wade-2005-06-miami-heat,Dwyane Wade,2005-06 Miami Heat,PG / SG,95,"6'4""",76,212,"6'11""",83,88.0,80.0,92.0,90.0,82.0,60.0,50.0,95,78,89,98,90,79,97,95,98,95,72,79,66,35,89,95,90,88,96,94,98,80,97,98,79,85,59,95,90,67,92,94,79,61,59,Gold,Gold,-,-,Gold,Gold,Gold,-,Gold,-,Silver,-,-,-,Gold,-,Gold,Silver,Gold,Silver,Gold,Gold,Gold,Gold,Silver,Gold,Gold,Gold,Gold,-,Gold,Gold,-,Gold,-,-,-,-,Gold,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
shaquille-oneal-2005-06-miami-heat,Shaquille O’Neal,2005-06 Miami Heat,C,89,"7'1""",85,325,"7'7""",91,64.0,81.0,53.0,70.0,79.0,84.0,85.0,89,46,35,90,98,26,91,75,98,58,90,50,92,95,58,66,66,47,29,43,80,80,36,80,99,75,82,95,93,95,92,43,55,89,78,-,-,-,-,-,HOF,Silver,Silver,-,Silver,HOF,-,HOF,Gold,-,Gold,-,-,-,-,-,-,-,-,-,Gold,-,Gold,-,-,-,-,Gold,-,Gold,HOF,Gold,HOF,-,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
antoine-walker-2005-06-miami-heat,Antoine Walker,2005-06 Miami Heat,SF / PF,80,"6'8""",80,224,"7'0""",84,79.0,63.0,58.0,72.0,63.0,60.0,85.0,85,62,77,70,98,81,53,55,93,75,70,78,52,30,75,54,51,49,59,84,70,85,58,80,65,60,50,60,67,65,60,80,58,66,53,-,-,-,Gold,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
jason-williams-2005-06-miami-heat,Jason Williams,2005-06 Miami Heat,PG,78,"6'1""",73,190,"6'4""",76,68.0,45.0,86.0,71.0,57.0,36.0,90.0,69,79,71,50,65,76,50,25,93,77,26,40,25,25,95,92,92,72,79,88,73,79,79,88,27,60,30,60,72,32,60,81,61,45,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,-,-,Silver,-,Bronze,Bronze,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
gary-payton-2005-06-miami-heat,Gary Payton,2005-06 Miami Heat,PG / SG,77,"6'4""",76,180,"6'7""",79,75.0,54.0,77.0,72.0,65.0,42.0,70.0,82,79,73,60,82,75,53,25,82,82,58,58,45,25,82,82,80,64,77,90,70,90,73,78,40,60,32,70,75,50,81,85,62,49,34,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,Bronze,-,-,Bronze,-,-,-,-,Bronze,-,Bronze,-,Gold,-,-,Gold,-,Gold,-,-,-,-,-,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
udonis-haslem-2005-06-miami-heat,Udonis Haslem,2005-06 Miami Heat,PF / C,76,"6'8""",80,230,"6'11""",83,68.0,73.0,40.0,64.0,54.0,72.0,85.0,77,78,82,65,81,25,65,64,85,61,82,88,80,60,40,32,65,31,30,39,61,76,56,81,80,57,37,50,60,74,63,39,58,79,65,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Gold,Gold,Bronze,-,-,2005-06 Miami Heat,Miami Heat,2005-06,'06
